Gene_num,Gene_name,NodeType,Textual_gene_name
108,ATF6B-TRAN,Gene-TRAN,ATF6B
109,ATG12-TRAN,Gene-TRAN,ATG12
110,ATG16L1-TRAN,Gene-TRAN,ATG16L1
111,ATG5-TRAN,Gene-TRAN,ATG5
112,ATM-TRAN,Gene-TRAN,ATM
113,ATP1A1-TRAN,Gene-TRAN,ATP1A1
114,ATP1A2-TRAN,Gene-TRAN,ATP1A2
115,ATP1A3-TRAN,Gene-TRAN,ATP1A3
116,ATP1A4-TRAN,Gene-TRAN,ATP1A4
117,ATP1B1-TRAN,Gene-TRAN,ATP1B1
118,ATP1B2-TRAN,Gene-TRAN,ATP1B2
119,ATP1B3-TRAN,Gene-TRAN,ATP1B3
120,ATP1B4-TRAN,Gene-TRAN,ATP1B4
121,ATP2A1-TRAN,Gene-TRAN,ATP2A1
122,ATP2A2-TRAN,Gene-TRAN,ATP2A2
123,ATP2A3-TRAN,Gene-TRAN,ATP2A3
124,ATP2B1-TRAN,Gene-TRAN,ATP2B1
125,ATP2B2-TRAN,Gene-TRAN,ATP2B2
126,ATP2B3-TRAN,Gene-TRAN,ATP2B3
127,ATP2B4-TRAN,Gene-TRAN,ATP2B4
128,ATP6V1A-TRAN,Gene-TRAN,ATP6V1A
129,ATP6V1B1-TRAN,Gene-TRAN,ATP6V1B1
130,ATP6V1B2-TRAN,Gene-TRAN,ATP6V1B2
131,ATP6V1C1-TRAN,Gene-TRAN,ATP6V1C1
132,ATP6V1C2-TRAN,Gene-TRAN,ATP6V1C2
133,ATP6V1D-TRAN,Gene-TRAN,ATP6V1D
134,ATP6V1E1-TRAN,Gene-TRAN,ATP6V1E1
135,ATP6V1E2-TRAN,Gene-TRAN,ATP6V1E2
136,ATP6V1F-TRAN,Gene-TRAN,ATP6V1F
137,ATP6V1G1-TRAN,Gene-TRAN,ATP6V1G1
138,ATP6V1G2-TRAN,Gene-TRAN,ATP6V1G2
139,ATP6V1G3-TRAN,Gene-TRAN,ATP6V1G3
140,ATP6V1H-TRAN,Gene-TRAN,ATP6V1H
141,ATR-TRAN,Gene-TRAN,ATR
142,ATXN1-TRAN,Gene-TRAN,ATXN1
143,ATXN1L-TRAN,Gene-TRAN,ATXN1L
144,AVP-TRAN,Gene-TRAN,AVP
145,AVPR1A-TRAN,Gene-TRAN,AVPR1A
146,AVPR1B-TRAN,Gene-TRAN,AVPR1B
147,AVPR2-TRAN,Gene-TRAN,AVPR2
148,AXIN1-TRAN,Gene-TRAN,AXIN1
149,AXIN2-TRAN,Gene-TRAN,AXIN2
150,AZI2-TRAN,Gene-TRAN,AZI2
151,BAD-TRAN,Gene-TRAN,BAD
152,BAG4-TRAN,Gene-TRAN,BAG4
153,BAMBI-TRAN,Gene-TRAN,BAMBI
154,BAX-TRAN,Gene-TRAN,BAX
155,BBC3-TRAN,Gene-TRAN,BBC3
156,BCAR1-TRAN,Gene-TRAN,BCAR1
157,BCL10-TRAN,Gene-TRAN,BCL10
158,BCL2-TRAN,Gene-TRAN,BCL2
159,BCL2A1-TRAN,Gene-TRAN,BCL2A1
160,BCL2L1-TRAN,Gene-TRAN,BCL2L1
161,BCL2L11-TRAN,Gene-TRAN,BCL2L11
162,BCL3-TRAN,Gene-TRAN,BCL3
163,BCL6-TRAN,Gene-TRAN,BCL6
164,BDKRB1-TRAN,Gene-TRAN,BDKRB1
165,BDKRB2-TRAN,Gene-TRAN,BDKRB2
166,BDNF-TRAN,Gene-TRAN,BDNF
167,BECN1-TRAN,Gene-TRAN,BECN1
168,BECN2-TRAN,Gene-TRAN,BECN2
169,BID-TRAN,Gene-TRAN,BID
170,BIRC2-TRAN,Gene-TRAN,BIRC2
171,BIRC3-TRAN,Gene-TRAN,BIRC3
172,BIRC5-TRAN,Gene-TRAN,BIRC5
173,BLNK-TRAN,Gene-TRAN,BLNK
174,BMP2-TRAN,Gene-TRAN,BMP2
175,BMP4-TRAN,Gene-TRAN,BMP4
176,BMP5-TRAN,Gene-TRAN,BMP5
177,BMP6-TRAN,Gene-TRAN,BMP6
178,BMP7-TRAN,Gene-TRAN,BMP7
179,BMP8A-TRAN,Gene-TRAN,BMP8A
180,BMP8B-TRAN,Gene-TRAN,BMP8B
181,BMPR1A-TRAN,Gene-TRAN,BMPR1A
182,BMPR1B-TRAN,Gene-TRAN,BMPR1B
183,BMPR2-TRAN,Gene-TRAN,BMPR2
184,BNIP3-TRAN,Gene-TRAN,BNIP3
185,BOC-TRAN,Gene-TRAN,BOC
186,BRAF-TRAN,Gene-TRAN,BRAF
187,BRAP-TRAN,Gene-TRAN,BRAP
188,BRCA1-TRAN,Gene-TRAN,BRCA1
189,BRCC3-TRAN,Gene-TRAN,BRCC3
190,BTC-TRAN,Gene-TRAN,BTC
191,BTK-TRAN,Gene-TRAN,BTK
192,BTRC-TRAN,Gene-TRAN,BTRC
193,CAB39-TRAN,Gene-TRAN,CAB39
194,CAB39L-TRAN,Gene-TRAN,CAB39L
195,CACNA1A-TRAN,Gene-TRAN,CACNA1A
196,CACNA1B-TRAN,Gene-TRAN,CACNA1B
197,CACNA1C-TRAN,Gene-TRAN,CACNA1C
198,CACNA1D-TRAN,Gene-TRAN,CACNA1D
199,CACNA1E-TRAN,Gene-TRAN,CACNA1E
200,CACNA1F-TRAN,Gene-TRAN,CACNA1F
201,CACNA1G-TRAN,Gene-TRAN,CACNA1G
202,CACNA1H-TRAN,Gene-TRAN,CACNA1H
203,CACNA1I-TRAN,Gene-TRAN,CACNA1I
204,CACNA1S-TRAN,Gene-TRAN,CACNA1S
205,CACNA2D1-TRAN,Gene-TRAN,CACNA2D1
206,CACNA2D2-TRAN,Gene-TRAN,CACNA2D2
207,CACNA2D3-TRAN,Gene-TRAN,CACNA2D3
208,CACNA2D4-TRAN,Gene-TRAN,CACNA2D4
209,CACNB1-TRAN,Gene-TRAN,CACNB1
210,CACNB2-TRAN,Gene-TRAN,CACNB2
211,CACNB3-TRAN,Gene-TRAN,CACNB3
212,CACNB4-TRAN,Gene-TRAN,CACNB4
213,CACNG1-TRAN,Gene-TRAN,CACNG1
214,CACNG2-TRAN,Gene-TRAN,CACNG2
215,CACNG3-TRAN,Gene-TRAN,CACNG3
216,CACNG4-TRAN,Gene-TRAN,CACNG4
217,CACNG5-TRAN,Gene-TRAN,CACNG5
218,CACNG6-TRAN,Gene-TRAN,CACNG6
219,CACNG7-TRAN,Gene-TRAN,CACNG7
220,CACNG8-TRAN,Gene-TRAN,CACNG8
221,CACYBP-TRAN,Gene-TRAN,CACYBP
222,CALM1-TRAN,Gene-TRAN,CALM1
223,CALM2-TRAN,Gene-TRAN,CALM2
224,CALM3-TRAN,Gene-TRAN,CALM3
225,CALML3-TRAN,Gene-TRAN,CALML3
226,CALML4-TRAN,Gene-TRAN,CALML4
227,CALML5-TRAN,Gene-TRAN,CALML5
228,CALML6-TRAN,Gene-TRAN,CALML6
229,CAMK1-TRAN,Gene-TRAN,CAMK1
230,CAMK1D-TRAN,Gene-TRAN,CAMK1D
231,CAMK1G-TRAN,Gene-TRAN,CAMK1G
232,CAMK2A-TRAN,Gene-TRAN,CAMK2A
233,CAMK2B-TRAN,Gene-TRAN,CAMK2B
234,CAMK2D-TRAN,Gene-TRAN,CAMK2D
235,CAMK2G-TRAN,Gene-TRAN,CAMK2G
236,CAMK4-TRAN,Gene-TRAN,CAMK4
237,CAMKK2-TRAN,Gene-TRAN,CAMKK2
238,CAMP-TRAN,Gene-TRAN,CAMP
239,CARD10-TRAN,Gene-TRAN,CARD10
240,CARD11-TRAN,Gene-TRAN,CARD11
241,CARD14-TRAN,Gene-TRAN,CARD14
242,CARD16-TRAN,Gene-TRAN,CARD16
243,CARD18-TRAN,Gene-TRAN,CARD18
244,CARD6-TRAN,Gene-TRAN,CARD6
245,CARD8-TRAN,Gene-TRAN,CARD8
246,CARD9-TRAN,Gene-TRAN,CARD9
247,CASP1-TRAN,Gene-TRAN,CASP1
248,CASP10-TRAN,Gene-TRAN,CASP10
249,CASP12-TRAN,Gene-TRAN,CASP12
250,CASP3-TRAN,Gene-TRAN,CASP3
251,CASP4-TRAN,Gene-TRAN,CASP4
252,CASP5-TRAN,Gene-TRAN,CASP5
253,CASP7-TRAN,Gene-TRAN,CASP7
254,CASP8-TRAN,Gene-TRAN,CASP8
255,CASP9-TRAN,Gene-TRAN,CASP9
256,CASQ1-TRAN,Gene-TRAN,CASQ1
257,CASQ2-TRAN,Gene-TRAN,CASQ2
258,CASR-TRAN,Gene-TRAN,CASR
259,CAT-TRAN,Gene-TRAN,CAT
260,CBL-TRAN,Gene-TRAN,CBL
261,CBLB-TRAN,Gene-TRAN,CBLB
262,CCKAR-TRAN,Gene-TRAN,CCKAR
263,CCKBR-TRAN,Gene-TRAN,CCKBR
264,CCL1-TRAN,Gene-TRAN,CCL1
265,CCL11-TRAN,Gene-TRAN,CCL11
266,CCL13-TRAN,Gene-TRAN,CCL13
267,CCL14-TRAN,Gene-TRAN,CCL14
268,CCL15-TRAN,Gene-TRAN,CCL15
269,CCL16-TRAN,Gene-TRAN,CCL16
270,CCL17-TRAN,Gene-TRAN,CCL17
271,CCL18-TRAN,Gene-TRAN,CCL18
272,CCL19-TRAN,Gene-TRAN,CCL19
273,CCL2-TRAN,Gene-TRAN,CCL2
274,CCL20-TRAN,Gene-TRAN,CCL20
275,CCL21-TRAN,Gene-TRAN,CCL21
276,CCL22-TRAN,Gene-TRAN,CCL22
277,CCL23-TRAN,Gene-TRAN,CCL23
278,CCL24-TRAN,Gene-TRAN,CCL24
279,CCL25-TRAN,Gene-TRAN,CCL25
280,CCL26-TRAN,Gene-TRAN,CCL26
281,CCL27-TRAN,Gene-TRAN,CCL27
282,CCL28-TRAN,Gene-TRAN,CCL28
283,CCL3-TRAN,Gene-TRAN,CCL3
284,CCL3L3-TRAN,Gene-TRAN,CCL3L3
285,CCL4-TRAN,Gene-TRAN,CCL4
286,CCL4L2-TRAN,Gene-TRAN,CCL4L2
287,CCL5-TRAN,Gene-TRAN,CCL5
288,CCL7-TRAN,Gene-TRAN,CCL7
289,CCL8-TRAN,Gene-TRAN,CCL8
290,CCNA1-TRAN,Gene-TRAN,CCNA1
291,CCNA2-TRAN,Gene-TRAN,CCNA2
292,CCNB1-TRAN,Gene-TRAN,CCNB1
293,CCNB2-TRAN,Gene-TRAN,CCNB2
294,CCNB3-TRAN,Gene-TRAN,CCNB3
295,CCND1-TRAN,Gene-TRAN,CCND1
296,CCND2-TRAN,Gene-TRAN,CCND2
297,CCND3-TRAN,Gene-TRAN,CCND3
298,CCNE1-TRAN,Gene-TRAN,CCNE1
299,CCNE2-TRAN,Gene-TRAN,CCNE2
300,CCNG1-TRAN,Gene-TRAN,CCNG1
301,CCNG2-TRAN,Gene-TRAN,CCNG2
302,CCR1-TRAN,Gene-TRAN,CCR1
303,CCR10-TRAN,Gene-TRAN,CCR10
304,CCR2-TRAN,Gene-TRAN,CCR2
305,CCR3-TRAN,Gene-TRAN,CCR3
306,CCR4-TRAN,Gene-TRAN,CCR4
307,CCR5-TRAN,Gene-TRAN,CCR5
308,CCR6-TRAN,Gene-TRAN,CCR6
309,CCR7-TRAN,Gene-TRAN,CCR7
310,CCR8-TRAN,Gene-TRAN,CCR8
311,CCR9-TRAN,Gene-TRAN,CCR9
312,CD14-TRAN,Gene-TRAN,CD14
313,CD19-TRAN,Gene-TRAN,CD19
314,CD209-TRAN,Gene-TRAN,CD209
315,CD22-TRAN,Gene-TRAN,CD22
316,CD247-TRAN,Gene-TRAN,CD247
317,CD28-TRAN,Gene-TRAN,CD28
318,CD36-TRAN,Gene-TRAN,CD36
319,CD38-TRAN,Gene-TRAN,CD38
320,CD3E-TRAN,Gene-TRAN,CD3E
321,CD4-TRAN,Gene-TRAN,CD4
322,CD40-TRAN,Gene-TRAN,CD40
323,CD40LG-TRAN,Gene-TRAN,CD40LG
324,CD72-TRAN,Gene-TRAN,CD72
325,CD79A-TRAN,Gene-TRAN,CD79A
326,CD79B-TRAN,Gene-TRAN,CD79B
327,CD80-TRAN,Gene-TRAN,CD80
328,CD82-TRAN,Gene-TRAN,CD82
329,CD86-TRAN,Gene-TRAN,CD86
330,CD8A-TRAN,Gene-TRAN,CD8A
331,CD8B-TRAN,Gene-TRAN,CD8B
332,CDC25B-TRAN,Gene-TRAN,CDC25B
333,CDC37-TRAN,Gene-TRAN,CDC37
334,CDC42-TRAN,Gene-TRAN,CDC42
335,CDH1-TRAN,Gene-TRAN,CDH1
336,CDK1-TRAN,Gene-TRAN,CDK1
337,CDK2-TRAN,Gene-TRAN,CDK2
338,CDK4-TRAN,Gene-TRAN,CDK4
339,CDK6-TRAN,Gene-TRAN,CDK6
340,CDKN1A-TRAN,Gene-TRAN,CDKN1A
341,CDKN1B-TRAN,Gene-TRAN,CDKN1B
342,CDKN2A-TRAN,Gene-TRAN,CDKN2A
343,CDKN2B-TRAN,Gene-TRAN,CDKN2B
344,CDKN2D-TRAN,Gene-TRAN,CDKN2D
345,CDON-TRAN,Gene-TRAN,CDON
346,CEBPB-TRAN,Gene-TRAN,CEBPB
347,CER1-TRAN,Gene-TRAN,CER1
348,CFLAR-TRAN,Gene-TRAN,CFLAR
349,CFTR-TRAN,Gene-TRAN,CFTR
350,CGA-TRAN,Gene-TRAN,CGA
351,CHAD-TRAN,Gene-TRAN,CHAD
352,CHD8-TRAN,Gene-TRAN,CHD8
353,CHEK1-TRAN,Gene-TRAN,CHEK1
354,CHEK2-TRAN,Gene-TRAN,CHEK2
355,CHRD-TRAN,Gene-TRAN,CHRD
356,CHRM1-TRAN,Gene-TRAN,CHRM1
357,CHRM2-TRAN,Gene-TRAN,CHRM2
358,CHRM3-TRAN,Gene-TRAN,CHRM3
359,CHRM5-TRAN,Gene-TRAN,CHRM5
360,CHRNA7-TRAN,Gene-TRAN,CHRNA7
361,CHUK-TRAN,Gene-TRAN,CHUK
362,CIR1-TRAN,Gene-TRAN,CIR1
363,CISH-TRAN,Gene-TRAN,CISH
364,CLEC1B-TRAN,Gene-TRAN,CLEC1B
365,CLEC4D-TRAN,Gene-TRAN,CLEC4D
366,CLEC4E-TRAN,Gene-TRAN,CLEC4E
367,CLEC4M-TRAN,Gene-TRAN,CLEC4M
368,CLEC6A-TRAN,Gene-TRAN,CLEC6A
369,CLEC7A-TRAN,Gene-TRAN,CLEC7A
370,CLIP1-TRAN,Gene-TRAN,CLIP1
371,CNGA1-TRAN,Gene-TRAN,CNGA1
372,CNGA2-TRAN,Gene-TRAN,CNGA2
373,CNGA3-TRAN,Gene-TRAN,CNGA3
374,CNGA4-TRAN,Gene-TRAN,CNGA4
375,CNGB1-TRAN,Gene-TRAN,CNGB1
376,CNGB3-TRAN,Gene-TRAN,CNGB3
377,CNR1-TRAN,Gene-TRAN,CNR1
378,CNTF-TRAN,Gene-TRAN,CNTF
379,CNTFR-TRAN,Gene-TRAN,CNTFR
380,COL1A1-TRAN,Gene-TRAN,COL1A1
381,COL1A2-TRAN,Gene-TRAN,COL1A2
382,COL2A1-TRAN,Gene-TRAN,COL2A1
383,COL3A1-TRAN,Gene-TRAN,COL3A1
384,COL4A1-TRAN,Gene-TRAN,COL4A1
385,COL4A2-TRAN,Gene-TRAN,COL4A2
386,COL4A3-TRAN,Gene-TRAN,COL4A3
387,COL4A4-TRAN,Gene-TRAN,COL4A4
388,COL4A5-TRAN,Gene-TRAN,COL4A5
389,COL4A6-TRAN,Gene-TRAN,COL4A6
390,COL6A1-TRAN,Gene-TRAN,COL6A1
391,COL6A2-TRAN,Gene-TRAN,COL6A2
392,COL6A3-TRAN,Gene-TRAN,COL6A3
393,COL6A5-TRAN,Gene-TRAN,COL6A5
394,COL6A6-TRAN,Gene-TRAN,COL6A6
395,COL9A1-TRAN,Gene-TRAN,COL9A1
396,COL9A2-TRAN,Gene-TRAN,COL9A2
397,COL9A3-TRAN,Gene-TRAN,COL9A3
398,COMP-TRAN,Gene-TRAN,COMP
399,CPT1A-TRAN,Gene-TRAN,CPT1A
400,CPT1B-TRAN,Gene-TRAN,CPT1B
401,CPT1C-TRAN,Gene-TRAN,CPT1C
402,CPT2-TRAN,Gene-TRAN,CPT2
403,CREB1-TRAN,Gene-TRAN,CREB1
404,CREB3-TRAN,Gene-TRAN,CREB3
405,CREB3L1-TRAN,Gene-TRAN,CREB3L1
406,CREB3L2-TRAN,Gene-TRAN,CREB3L2
407,CREB3L3-TRAN,Gene-TRAN,CREB3L3
408,CREB3L4-TRAN,Gene-TRAN,CREB3L4
409,CREB5-TRAN,Gene-TRAN,CREB5
410,CREBBP-TRAN,Gene-TRAN,CREBBP
411,CRK-TRAN,Gene-TRAN,CRK
412,CRKL-TRAN,Gene-TRAN,CRKL
413,CRLF2-TRAN,Gene-TRAN,CRLF2
414,CRTC2-TRAN,Gene-TRAN,CRTC2
415,CSF1-TRAN,Gene-TRAN,CSF1
416,CSF1R-TRAN,Gene-TRAN,CSF1R
417,CSF2-TRAN,Gene-TRAN,CSF2
418,CSF2RA-TRAN,Gene-TRAN,CSF2RA
419,CSF2RB-TRAN,Gene-TRAN,CSF2RB
420,CSF3-TRAN,Gene-TRAN,CSF3
421,CSF3R-TRAN,Gene-TRAN,CSF3R
422,CSH1-TRAN,Gene-TRAN,CSH1
423,CSH2-TRAN,Gene-TRAN,CSH2
424,CSN2-TRAN,Gene-TRAN,CSN2
425,CSNK1A1-TRAN,Gene-TRAN,CSNK1A1
426,CSNK1A1L-TRAN,Gene-TRAN,CSNK1A1L
427,CSNK1D-TRAN,Gene-TRAN,CSNK1D
428,CSNK1E-TRAN,Gene-TRAN,CSNK1E
429,CSNK1G1-TRAN,Gene-TRAN,CSNK1G1
430,CSNK1G2-TRAN,Gene-TRAN,CSNK1G2
431,CSNK1G3-TRAN,Gene-TRAN,CSNK1G3
432,CSNK2A1-TRAN,Gene-TRAN,CSNK2A1
433,CSNK2A2-TRAN,Gene-TRAN,CSNK2A2
434,CSNK2A3-TRAN,Gene-TRAN,CSNK2A3
435,CSNK2B-TRAN,Gene-TRAN,CSNK2B
436,CTBP1-TRAN,Gene-TRAN,CTBP1
437,CTBP2-TRAN,Gene-TRAN,CTBP2
438,CTF1-TRAN,Gene-TRAN,CTF1
439,CTLA4-TRAN,Gene-TRAN,CTLA4
440,CTNNA1-TRAN,Gene-TRAN,CTNNA1
441,CTNNA2-TRAN,Gene-TRAN,CTNNA2
442,CTNNA3-TRAN,Gene-TRAN,CTNNA3
443,CTNNB1-TRAN,Gene-TRAN,CTNNB1
444,CTNNBIP1-TRAN,Gene-TRAN,CTNNBIP1
445,CTNND1-TRAN,Gene-TRAN,CTNND1
446,CTNND2-TRAN,Gene-TRAN,CTNND2
447,CTSB-TRAN,Gene-TRAN,CTSB
448,CTSD-TRAN,Gene-TRAN,CTSD
449,CUL1-TRAN,Gene-TRAN,CUL1
450,CUL3-TRAN,Gene-TRAN,CUL3
451,CX3CL1-TRAN,Gene-TRAN,CX3CL1
452,CX3CR1-TRAN,Gene-TRAN,CX3CR1
453,CXCL1-TRAN,Gene-TRAN,CXCL1
454,CXCL10-TRAN,Gene-TRAN,CXCL10
455,CXCL11-TRAN,Gene-TRAN,CXCL11
456,CXCL12-TRAN,Gene-TRAN,CXCL12
457,CXCL13-TRAN,Gene-TRAN,CXCL13
458,CXCL14-TRAN,Gene-TRAN,CXCL14
459,CXCL16-TRAN,Gene-TRAN,CXCL16
460,CXCL2-TRAN,Gene-TRAN,CXCL2
461,CXCL3-TRAN,Gene-TRAN,CXCL3
462,CXCL5-TRAN,Gene-TRAN,CXCL5
463,CXCL6-TRAN,Gene-TRAN,CXCL6
464,CXCL8-TRAN,Gene-TRAN,CXCL8
465,CXCL9-TRAN,Gene-TRAN,CXCL9
466,CXCR1-TRAN,Gene-TRAN,CXCR1
467,CXCR2-TRAN,Gene-TRAN,CXCR2
468,CXCR3-TRAN,Gene-TRAN,CXCR3
469,CXCR4-TRAN,Gene-TRAN,CXCR4
470,CXCR5-TRAN,Gene-TRAN,CXCR5
471,CXCR6-TRAN,Gene-TRAN,CXCR6
472,CXXC4-TRAN,Gene-TRAN,CXXC4
473,CYBA-TRAN,Gene-TRAN,CYBA
474,CYBB-TRAN,Gene-TRAN,CYBB
475,CYCS-TRAN,Gene-TRAN,CYCS
476,CYLD-TRAN,Gene-TRAN,CYLD
477,CYP17A1-TRAN,Gene-TRAN,CYP17A1
478,CYP27A1-TRAN,Gene-TRAN,CYP27A1
479,CYP7A1-TRAN,Gene-TRAN,CYP7A1
480,CYP8B1-TRAN,Gene-TRAN,CYP8B1
481,CYSLTR1-TRAN,Gene-TRAN,CYSLTR1
482,CYSLTR2-TRAN,Gene-TRAN,CYSLTR2
483,CYTH1-TRAN,Gene-TRAN,CYTH1
484,CYTH2-TRAN,Gene-TRAN,CYTH2
485,CYTH3-TRAN,Gene-TRAN,CYTH3
486,CYTH4-TRAN,Gene-TRAN,CYTH4
487,DAAM1-TRAN,Gene-TRAN,DAAM1
488,DAAM2-TRAN,Gene-TRAN,DAAM2
489,DAB2IP-TRAN,Gene-TRAN,DAB2IP
490,DAPP1-TRAN,Gene-TRAN,DAPP1
491,DAXX-TRAN,Gene-TRAN,DAXX
492,DBI-TRAN,Gene-TRAN,DBI
493,DCHS1-TRAN,Gene-TRAN,DCHS1
494,DCHS2-TRAN,Gene-TRAN,DCHS2
495,DCN-TRAN,Gene-TRAN,DCN
496,DDB2-TRAN,Gene-TRAN,DDB2
497,DDIT3-TRAN,Gene-TRAN,DDIT3
498,DDIT4-TRAN,Gene-TRAN,DDIT4
499,DDX3X-TRAN,Gene-TRAN,DDX3X
500,DEFB4A-TRAN,Gene-TRAN,DEFB4A
501,DEFB4B-TRAN,Gene-TRAN,DEFB4B
