src,dest,EdgeType,Textual_edge_type
ACVR1C-TRAN,ACVR1C-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ACVR2A-TRAN,ACVR2A-METH,Gene-TRAN-Gene-METH,promoting transcription
ACVR2A-TRAN,ACVR2A-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ACVR2B-TRAN,ACVR2B-METH,Gene-TRAN-Gene-METH,promoting transcription
ACVR2B-TRAN,ACVR2B-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ADAM17-TRAN,ADAM17-METH,Gene-TRAN-Gene-METH,promoting transcription
ADAM17-TRAN,ADAM17-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ADCY1-TRAN,ADCY1-METH,Gene-TRAN-Gene-METH,promoting transcription
ADCY1-TRAN,ADCY1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ADCY10-TRAN,ADCY10-METH,Gene-TRAN-Gene-METH,promoting transcription
ADCY10-TRAN,ADCY10-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ADCY2-TRAN,ADCY2-METH,Gene-TRAN-Gene-METH,promoting transcription
ADCY2-TRAN,ADCY2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ADCY3-TRAN,ADCY3-METH,Gene-TRAN-Gene-METH,promoting transcription
ADCY3-TRAN,ADCY3-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ADCY4-TRAN,ADCY4-METH,Gene-TRAN-Gene-METH,promoting transcription
ADCY4-TRAN,ADCY4-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ADCY5-TRAN,ADCY5-METH,Gene-TRAN-Gene-METH,promoting transcription
ADCY5-TRAN,ADCY5-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ADCY6-TRAN,ADCY6-METH,Gene-TRAN-Gene-METH,promoting transcription
ADCY6-TRAN,ADCY6-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ADCY7-TRAN,ADCY7-METH,Gene-TRAN-Gene-METH,promoting transcription
ADCY7-TRAN,ADCY7-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ADCY8-TRAN,ADCY8-METH,Gene-TRAN-Gene-METH,promoting transcription
ADCY8-TRAN,ADCY8-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ADCY9-TRAN,ADCY9-METH,Gene-TRAN-Gene-METH,promoting transcription
ADCY9-TRAN,ADCY9-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ADCYAP1-TRAN,ADCYAP1-METH,Gene-TRAN-Gene-METH,promoting transcription
ADCYAP1-TRAN,ADCYAP1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ADCYAP1R1-TRAN,ADCYAP1R1-METH,Gene-TRAN-Gene-METH,promoting transcription
ADCYAP1R1-TRAN,ADCYAP1R1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ADGRB1-TRAN,ADGRB1-METH,Gene-TRAN-Gene-METH,promoting transcription
ADGRB1-TRAN,ADGRB1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ADIPOQ-TRAN,ADIPOQ-METH,Gene-TRAN-Gene-METH,promoting transcription
ADIPOQ-TRAN,ADIPOQ-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ADIPOR1-TRAN,ADIPOR1-METH,Gene-TRAN-Gene-METH,promoting transcription
ADIPOR1-TRAN,ADIPOR1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ADIPOR2-TRAN,ADIPOR2-METH,Gene-TRAN-Gene-METH,promoting transcription
ADIPOR2-TRAN,ADIPOR2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ADORA1-TRAN,ADORA1-METH,Gene-TRAN-Gene-METH,promoting transcription
ADORA1-TRAN,ADORA1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ADORA2A-TRAN,ADORA2A-METH,Gene-TRAN-Gene-METH,promoting transcription
ADORA2A-TRAN,ADORA2A-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ADORA2B-TRAN,ADORA2B-METH,Gene-TRAN-Gene-METH,promoting transcription
ADORA2B-TRAN,ADORA2B-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ADORA3-TRAN,ADORA3-METH,Gene-TRAN-Gene-METH,promoting transcription
ADORA3-TRAN,ADORA3-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ADRA1A-TRAN,ADRA1A-METH,Gene-TRAN-Gene-METH,promoting transcription
ADRA1A-TRAN,ADRA1A-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ADRA1B-TRAN,ADRA1B-METH,Gene-TRAN-Gene-METH,promoting transcription
ADRA1B-TRAN,ADRA1B-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ADRA1D-TRAN,ADRA1D-METH,Gene-TRAN-Gene-METH,promoting transcription
ADRA1D-TRAN,ADRA1D-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ADRA2A-TRAN,ADRA2A-METH,Gene-TRAN-Gene-METH,promoting transcription
ADRA2A-TRAN,ADRA2A-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ADRA2B-TRAN,ADRA2B-METH,Gene-TRAN-Gene-METH,promoting transcription
ADRA2B-TRAN,ADRA2B-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ADRA2C-TRAN,ADRA2C-METH,Gene-TRAN-Gene-METH,promoting transcription
ADRA2C-TRAN,ADRA2C-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ADRB1-TRAN,ADRB1-METH,Gene-TRAN-Gene-METH,promoting transcription
ADRB1-TRAN,ADRB1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ADRB2-TRAN,ADRB2-METH,Gene-TRAN-Gene-METH,promoting transcription
ADRB2-TRAN,ADRB2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ADRB3-TRAN,ADRB3-METH,Gene-TRAN-Gene-METH,promoting transcription
ADRB3-TRAN,ADRB3-PROT,Gene-TRAN-Gene-PROT,transcripting protein
AFP-TRAN,AFP-METH,Gene-TRAN-Gene-METH,promoting transcription
AFP-TRAN,AFP-PROT,Gene-TRAN-Gene-PROT,transcripting protein
AGAP2-TRAN,AGAP2-METH,Gene-TRAN-Gene-METH,promoting transcription
AGAP2-TRAN,AGAP2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
AGER-TRAN,AGER-METH,Gene-TRAN-Gene-METH,promoting transcription
AGER-TRAN,AGER-PROT,Gene-TRAN-Gene-PROT,transcripting protein
AGRP-TRAN,AGRP-METH,Gene-TRAN-Gene-METH,promoting transcription
AGRP-TRAN,AGRP-PROT,Gene-TRAN-Gene-PROT,transcripting protein
AGT-TRAN,AGT-METH,Gene-TRAN-Gene-METH,promoting transcription
AGT-TRAN,AGT-PROT,Gene-TRAN-Gene-PROT,transcripting protein
AGTR1-TRAN,AGTR1-METH,Gene-TRAN-Gene-METH,promoting transcription
AGTR1-TRAN,AGTR1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
AIFM2-TRAN,AIFM2-METH,Gene-TRAN-Gene-METH,promoting transcription
AIFM2-TRAN,AIFM2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
AIM2-TRAN,AIM2-METH,Gene-TRAN-Gene-METH,promoting transcription
AIM2-TRAN,AIM2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
AJUBA-TRAN,AJUBA-METH,Gene-TRAN-Gene-METH,promoting transcription
AJUBA-TRAN,AJUBA-PROT,Gene-TRAN-Gene-PROT,transcripting protein
AKT1-TRAN,AKT1-METH,Gene-TRAN-Gene-METH,promoting transcription
AKT1-TRAN,AKT1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
AKT1S1-TRAN,AKT1S1-METH,Gene-TRAN-Gene-METH,promoting transcription
AKT1S1-TRAN,AKT1S1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
AKT2-TRAN,AKT2-METH,Gene-TRAN-Gene-METH,promoting transcription
AKT2-TRAN,AKT2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
AKT3-TRAN,AKT3-METH,Gene-TRAN-Gene-METH,promoting transcription
AKT3-TRAN,AKT3-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ALDOA-TRAN,ALDOA-METH,Gene-TRAN-Gene-METH,promoting transcription
ALDOA-TRAN,ALDOA-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ALDOB-TRAN,ALDOB-METH,Gene-TRAN-Gene-METH,promoting transcription
ALDOB-TRAN,ALDOB-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ALDOC-TRAN,ALDOC-METH,Gene-TRAN-Gene-METH,promoting transcription
ALDOC-TRAN,ALDOC-PROT,Gene-TRAN-Gene-PROT,transcripting protein
AMH-TRAN,AMH-METH,Gene-TRAN-Gene-METH,promoting transcription
AMH-TRAN,AMH-PROT,Gene-TRAN-Gene-PROT,transcripting protein
AMHR2-TRAN,AMHR2-METH,Gene-TRAN-Gene-METH,promoting transcription
AMHR2-TRAN,AMHR2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
AMOT-TRAN,AMOT-METH,Gene-TRAN-Gene-METH,promoting transcription
AMOT-TRAN,AMOT-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ANAPC5-TRAN,ANAPC5-METH,Gene-TRAN-Gene-METH,promoting transcription
ANAPC5-TRAN,ANAPC5-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ANGPT1-TRAN,ANGPT1-METH,Gene-TRAN-Gene-METH,promoting transcription
ANGPT1-TRAN,ANGPT1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ANGPT2-TRAN,ANGPT2-METH,Gene-TRAN-Gene-METH,promoting transcription
ANGPT2-TRAN,ANGPT2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ANGPT4-TRAN,ANGPT4-METH,Gene-TRAN-Gene-METH,promoting transcription
ANGPT4-TRAN,ANGPT4-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ANGPTL4-TRAN,ANGPTL4-METH,Gene-TRAN-Gene-METH,promoting transcription
ANGPTL4-TRAN,ANGPTL4-PROT,Gene-TRAN-Gene-PROT,transcripting protein
AOX1-TRAN,AOX1-METH,Gene-TRAN-Gene-METH,promoting transcription
AOX1-TRAN,AOX1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
APAF1-TRAN,APAF1-METH,Gene-TRAN-Gene-METH,promoting transcription
APAF1-TRAN,APAF1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
APBB1IP-TRAN,APBB1IP-METH,Gene-TRAN-Gene-METH,promoting transcription
APBB1IP-TRAN,APBB1IP-PROT,Gene-TRAN-Gene-PROT,transcripting protein
APC-TRAN,APC-METH,Gene-TRAN-Gene-METH,promoting transcription
APC-TRAN,APC-PROT,Gene-TRAN-Gene-PROT,transcripting protein
APC2-TRAN,APC2-METH,Gene-TRAN-Gene-METH,promoting transcription
APC2-TRAN,APC2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
APH1A-TRAN,APH1A-METH,Gene-TRAN-Gene-METH,promoting transcription
APH1A-TRAN,APH1A-PROT,Gene-TRAN-Gene-PROT,transcripting protein
APH1B-TRAN,APH1B-METH,Gene-TRAN-Gene-METH,promoting transcription
APH1B-TRAN,APH1B-PROT,Gene-TRAN-Gene-PROT,transcripting protein
APLN-TRAN,APLN-METH,Gene-TRAN-Gene-METH,promoting transcription
APLN-TRAN,APLN-PROT,Gene-TRAN-Gene-PROT,transcripting protein
APLNR-TRAN,APLNR-METH,Gene-TRAN-Gene-METH,promoting transcription
APLNR-TRAN,APLNR-PROT,Gene-TRAN-Gene-PROT,transcripting protein
APOA1-TRAN,APOA1-METH,Gene-TRAN-Gene-METH,promoting transcription
APOA1-TRAN,APOA1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
APOA2-TRAN,APOA2-METH,Gene-TRAN-Gene-METH,promoting transcription
APOA2-TRAN,APOA2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
APOA5-TRAN,APOA5-METH,Gene-TRAN-Gene-METH,promoting transcription
APOA5-TRAN,APOA5-PROT,Gene-TRAN-Gene-PROT,transcripting protein
APOC3-TRAN,APOC3-METH,Gene-TRAN-Gene-METH,promoting transcription
APOC3-TRAN,APOC3-PROT,Gene-TRAN-Gene-PROT,transcripting protein
AQP7-TRAN,AQP7-METH,Gene-TRAN-Gene-METH,promoting transcription
AQP7-TRAN,AQP7-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ARAF-TRAN,ARAF-METH,Gene-TRAN-Gene-METH,promoting transcription
ARAF-TRAN,ARAF-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ARAP3-TRAN,ARAP3-METH,Gene-TRAN-Gene-METH,promoting transcription
ARAP3-TRAN,ARAP3-PROT,Gene-TRAN-Gene-PROT,transcripting protein
AREG-TRAN,AREG-METH,Gene-TRAN-Gene-METH,promoting transcription
AREG-TRAN,AREG-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ARF1-TRAN,ARF1-METH,Gene-TRAN-Gene-METH,promoting transcription
ARF1-TRAN,ARF1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ARF6-TRAN,ARF6-METH,Gene-TRAN-Gene-METH,promoting transcription
ARF6-TRAN,ARF6-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ARHGDIA-TRAN,ARHGDIA-METH,Gene-TRAN-Gene-METH,promoting transcription
ARHGDIA-TRAN,ARHGDIA-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ARHGDIB-TRAN,ARHGDIB-METH,Gene-TRAN-Gene-METH,promoting transcription
ARHGDIB-TRAN,ARHGDIB-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ARHGDIG-TRAN,ARHGDIG-METH,Gene-TRAN-Gene-METH,promoting transcription
ARHGDIG-TRAN,ARHGDIG-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ARHGEF12-TRAN,ARHGEF12-METH,Gene-TRAN-Gene-METH,promoting transcription
ARHGEF12-TRAN,ARHGEF12-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ARNT-TRAN,ARNT-METH,Gene-TRAN-Gene-METH,promoting transcription
ARNT-TRAN,ARNT-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ARRB1-TRAN,ARRB1-METH,Gene-TRAN-Gene-METH,promoting transcription
ARRB1-TRAN,ARRB1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ARRB2-TRAN,ARRB2-METH,Gene-TRAN-Gene-METH,promoting transcription
ARRB2-TRAN,ARRB2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ASPH-TRAN,ASPH-METH,Gene-TRAN-Gene-METH,promoting transcription
ASPH-TRAN,ASPH-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ATF2-TRAN,ATF2-METH,Gene-TRAN-Gene-METH,promoting transcription
ATF2-TRAN,ATF2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ATF4-TRAN,ATF4-METH,Gene-TRAN-Gene-METH,promoting transcription
ATF4-TRAN,ATF4-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ATF6B-TRAN,ATF6B-METH,Gene-TRAN-Gene-METH,promoting transcription
ATF6B-TRAN,ATF6B-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ATG12-TRAN,ATG12-METH,Gene-TRAN-Gene-METH,promoting transcription
ATG12-TRAN,ATG12-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ATG16L1-TRAN,ATG16L1-METH,Gene-TRAN-Gene-METH,promoting transcription
ATG16L1-TRAN,ATG16L1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ATG5-TRAN,ATG5-METH,Gene-TRAN-Gene-METH,promoting transcription
ATG5-TRAN,ATG5-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ATM-TRAN,ATM-METH,Gene-TRAN-Gene-METH,promoting transcription
ATM-TRAN,ATM-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ATP1A1-TRAN,ATP1A1-METH,Gene-TRAN-Gene-METH,promoting transcription
ATP1A1-TRAN,ATP1A1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ATP1A2-TRAN,ATP1A2-METH,Gene-TRAN-Gene-METH,promoting transcription
ATP1A2-TRAN,ATP1A2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ATP1A3-TRAN,ATP1A3-METH,Gene-TRAN-Gene-METH,promoting transcription
ATP1A3-TRAN,ATP1A3-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ATP1A4-TRAN,ATP1A4-METH,Gene-TRAN-Gene-METH,promoting transcription
ATP1A4-TRAN,ATP1A4-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ATP1B1-TRAN,ATP1B1-METH,Gene-TRAN-Gene-METH,promoting transcription
ATP1B1-TRAN,ATP1B1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ATP1B2-TRAN,ATP1B2-METH,Gene-TRAN-Gene-METH,promoting transcription
ATP1B2-TRAN,ATP1B2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ATP1B3-TRAN,ATP1B3-METH,Gene-TRAN-Gene-METH,promoting transcription
ATP1B3-TRAN,ATP1B3-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ATP1B4-TRAN,ATP1B4-METH,Gene-TRAN-Gene-METH,promoting transcription
ATP1B4-TRAN,ATP1B4-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ATP2A1-TRAN,ATP2A1-METH,Gene-TRAN-Gene-METH,promoting transcription
ATP2A1-TRAN,ATP2A1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ATP2A2-TRAN,ATP2A2-METH,Gene-TRAN-Gene-METH,promoting transcription
ATP2A2-TRAN,ATP2A2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ATP2A3-TRAN,ATP2A3-METH,Gene-TRAN-Gene-METH,promoting transcription
ATP2A3-TRAN,ATP2A3-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ATP2B1-TRAN,ATP2B1-METH,Gene-TRAN-Gene-METH,promoting transcription
ATP2B1-TRAN,ATP2B1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ATP2B2-TRAN,ATP2B2-METH,Gene-TRAN-Gene-METH,promoting transcription
ATP2B2-TRAN,ATP2B2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ATP2B3-TRAN,ATP2B3-METH,Gene-TRAN-Gene-METH,promoting transcription
ATP2B3-TRAN,ATP2B3-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ATP2B4-TRAN,ATP2B4-METH,Gene-TRAN-Gene-METH,promoting transcription
ATP2B4-TRAN,ATP2B4-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ATP6V1A-TRAN,ATP6V1A-METH,Gene-TRAN-Gene-METH,promoting transcription
ATP6V1A-TRAN,ATP6V1A-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ATP6V1B1-TRAN,ATP6V1B1-METH,Gene-TRAN-Gene-METH,promoting transcription
ATP6V1B1-TRAN,ATP6V1B1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ATP6V1B2-TRAN,ATP6V1B2-METH,Gene-TRAN-Gene-METH,promoting transcription
ATP6V1B2-TRAN,ATP6V1B2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ATP6V1C1-TRAN,ATP6V1C1-METH,Gene-TRAN-Gene-METH,promoting transcription
ATP6V1C1-TRAN,ATP6V1C1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ATP6V1C2-TRAN,ATP6V1C2-METH,Gene-TRAN-Gene-METH,promoting transcription
ATP6V1C2-TRAN,ATP6V1C2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ATP6V1D-TRAN,ATP6V1D-METH,Gene-TRAN-Gene-METH,promoting transcription
ATP6V1D-TRAN,ATP6V1D-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ATP6V1E1-TRAN,ATP6V1E1-METH,Gene-TRAN-Gene-METH,promoting transcription
ATP6V1E1-TRAN,ATP6V1E1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ATP6V1E2-TRAN,ATP6V1E2-METH,Gene-TRAN-Gene-METH,promoting transcription
ATP6V1E2-TRAN,ATP6V1E2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ATP6V1F-TRAN,ATP6V1F-METH,Gene-TRAN-Gene-METH,promoting transcription
ATP6V1F-TRAN,ATP6V1F-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ATP6V1G1-TRAN,ATP6V1G1-METH,Gene-TRAN-Gene-METH,promoting transcription
ATP6V1G1-TRAN,ATP6V1G1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ATP6V1G2-TRAN,ATP6V1G2-METH,Gene-TRAN-Gene-METH,promoting transcription
ATP6V1G2-TRAN,ATP6V1G2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ATP6V1G3-TRAN,ATP6V1G3-METH,Gene-TRAN-Gene-METH,promoting transcription
ATP6V1G3-TRAN,ATP6V1G3-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ATP6V1H-TRAN,ATP6V1H-METH,Gene-TRAN-Gene-METH,promoting transcription
ATP6V1H-TRAN,ATP6V1H-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ATR-TRAN,ATR-METH,Gene-TRAN-Gene-METH,promoting transcription
ATR-TRAN,ATR-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ATXN1-TRAN,ATXN1-METH,Gene-TRAN-Gene-METH,promoting transcription
ATXN1-TRAN,ATXN1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
ATXN1L-TRAN,ATXN1L-METH,Gene-TRAN-Gene-METH,promoting transcription
ATXN1L-TRAN,ATXN1L-PROT,Gene-TRAN-Gene-PROT,transcripting protein
AVP-TRAN,AVP-METH,Gene-TRAN-Gene-METH,promoting transcription
AVP-TRAN,AVP-PROT,Gene-TRAN-Gene-PROT,transcripting protein
AVPR1A-TRAN,AVPR1A-METH,Gene-TRAN-Gene-METH,promoting transcription
AVPR1A-TRAN,AVPR1A-PROT,Gene-TRAN-Gene-PROT,transcripting protein
AVPR1B-TRAN,AVPR1B-METH,Gene-TRAN-Gene-METH,promoting transcription
AVPR1B-TRAN,AVPR1B-PROT,Gene-TRAN-Gene-PROT,transcripting protein
AVPR2-TRAN,AVPR2-METH,Gene-TRAN-Gene-METH,promoting transcription
AVPR2-TRAN,AVPR2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
AXIN1-TRAN,AXIN1-METH,Gene-TRAN-Gene-METH,promoting transcription
AXIN1-TRAN,AXIN1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
AXIN2-TRAN,AXIN2-METH,Gene-TRAN-Gene-METH,promoting transcription
AXIN2-TRAN,AXIN2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
AZI2-TRAN,AZI2-METH,Gene-TRAN-Gene-METH,promoting transcription
AZI2-TRAN,AZI2-PROT,Gene-TRAN-Gene-PROT,transcripting protein
BAD-TRAN,BAD-METH,Gene-TRAN-Gene-METH,promoting transcription
BAD-TRAN,BAD-PROT,Gene-TRAN-Gene-PROT,transcripting protein
BAG4-TRAN,BAG4-METH,Gene-TRAN-Gene-METH,promoting transcription
BAG4-TRAN,BAG4-PROT,Gene-TRAN-Gene-PROT,transcripting protein
BAMBI-TRAN,BAMBI-METH,Gene-TRAN-Gene-METH,promoting transcription
BAMBI-TRAN,BAMBI-PROT,Gene-TRAN-Gene-PROT,transcripting protein
BAX-TRAN,BAX-METH,Gene-TRAN-Gene-METH,promoting transcription
BAX-TRAN,BAX-PROT,Gene-TRAN-Gene-PROT,transcripting protein
BBC3-TRAN,BBC3-METH,Gene-TRAN-Gene-METH,promoting transcription
BBC3-TRAN,BBC3-PROT,Gene-TRAN-Gene-PROT,transcripting protein
BCAR1-TRAN,BCAR1-METH,Gene-TRAN-Gene-METH,promoting transcription
BCAR1-TRAN,BCAR1-PROT,Gene-TRAN-Gene-PROT,transcripting protein
