Gene_num,Gene_name,NodeType
87,APLNR-TRAN,Gene-TRAN
88,APOA1-TRAN,Gene-TRAN
89,APOA2-TRAN,Gene-TRAN
90,APOA5-TRAN,Gene-TRAN
91,APOC3-TRAN,Gene-TRAN
92,AQP7-TRAN,Gene-TRAN
93,ARAF-TRAN,Gene-TRAN
94,ARAP3-TRAN,Gene-TRAN
95,AREG-TRAN,Gene-TRAN
96,ARF1-TRAN,Gene-TRAN
97,ARF6-TRAN,Gene-TRAN
98,ARHGDIA-TRAN,Gene-TRAN
99,ARHGDIB-TRAN,Gene-TRAN
100,ARHGDIG-TRAN,Gene-TRAN
101,ARHGEF12-TRAN,Gene-TRAN
102,ARNT-TRAN,Gene-TRAN
103,ARRB1-TRAN,Gene-TRAN
104,ARRB2-TRAN,Gene-TRAN
105,ASPH-TRAN,Gene-TRAN
106,ATF2-TRAN,Gene-TRAN
107,ATF4-TRAN,Gene-TRAN
108,ATF6B-TRAN,Gene-TRAN
109,ATG12-TRAN,Gene-TRAN
110,ATG16L1-TRAN,Gene-TRAN
111,ATG5-TRAN,Gene-TRAN
112,ATM-TRAN,Gene-TRAN
113,ATP1A1-TRAN,Gene-TRAN
114,ATP1A2-TRAN,Gene-TRAN
115,ATP1A3-TRAN,Gene-TRAN
116,ATP1A4-TRAN,Gene-TRAN
117,ATP1B1-TRAN,Gene-TRAN
118,ATP1B2-TRAN,Gene-TRAN
119,ATP1B3-TRAN,Gene-TRAN
120,ATP1B4-TRAN,Gene-TRAN
121,ATP2A1-TRAN,Gene-TRAN
122,ATP2A2-TRAN,Gene-TRAN
123,ATP2A3-TRAN,Gene-TRAN
124,ATP2B1-TRAN,Gene-TRAN
125,ATP2B2-TRAN,Gene-TRAN
126,ATP2B3-TRAN,Gene-TRAN
127,ATP2B4-TRAN,Gene-TRAN
128,ATP6V1A-TRAN,Gene-TRAN
129,ATP6V1B1-TRAN,Gene-TRAN
130,ATP6V1B2-TRAN,Gene-TRAN
131,ATP6V1C1-TRAN,Gene-TRAN
132,ATP6V1C2-TRAN,Gene-TRAN
133,ATP6V1D-TRAN,Gene-TRAN
134,ATP6V1E1-TRAN,Gene-TRAN
135,ATP6V1E2-TRAN,Gene-TRAN
136,ATP6V1F-TRAN,Gene-TRAN
137,ATP6V1G1-TRAN,Gene-TRAN
138,ATP6V1G2-TRAN,Gene-TRAN
139,ATP6V1G3-TRAN,Gene-TRAN
140,ATP6V1H-TRAN,Gene-TRAN
141,ATR-TRAN,Gene-TRAN
142,ATXN1-TRAN,Gene-TRAN
143,ATXN1L-TRAN,Gene-TRAN
144,AVP-TRAN,Gene-TRAN
145,AVPR1A-TRAN,Gene-TRAN
146,AVPR1B-TRAN,Gene-TRAN
147,AVPR2-TRAN,Gene-TRAN
148,AXIN1-TRAN,Gene-TRAN
149,AXIN2-TRAN,Gene-TRAN
150,AZI2-TRAN,Gene-TRAN
151,BAD-TRAN,Gene-TRAN
152,BAG4-TRAN,Gene-TRAN
153,BAMBI-TRAN,Gene-TRAN
154,BAX-TRAN,Gene-TRAN
155,BBC3-TRAN,Gene-TRAN
156,BCAR1-TRAN,Gene-TRAN
157,BCL10-TRAN,Gene-TRAN
158,BCL2-TRAN,Gene-TRAN
159,BCL2A1-TRAN,Gene-TRAN
160,BCL2L1-TRAN,Gene-TRAN
161,BCL2L11-TRAN,Gene-TRAN
162,BCL3-TRAN,Gene-TRAN
163,BCL6-TRAN,Gene-TRAN
164,BDKRB1-TRAN,Gene-TRAN
165,BDKRB2-TRAN,Gene-TRAN
166,BDNF-TRAN,Gene-TRAN
167,BECN1-TRAN,Gene-TRAN
168,BECN2-TRAN,Gene-TRAN
169,BID-TRAN,Gene-TRAN
170,BIRC2-TRAN,Gene-TRAN
171,BIRC3-TRAN,Gene-TRAN
172,BIRC5-TRAN,Gene-TRAN
173,BLNK-TRAN,Gene-TRAN
174,BMP2-TRAN,Gene-TRAN
175,BMP4-TRAN,Gene-TRAN
176,BMP5-TRAN,Gene-TRAN
177,BMP6-TRAN,Gene-TRAN
178,BMP7-TRAN,Gene-TRAN
179,BMP8A-TRAN,Gene-TRAN
180,BMP8B-TRAN,Gene-TRAN
181,BMPR1A-TRAN,Gene-TRAN
182,BMPR1B-TRAN,Gene-TRAN
183,BMPR2-TRAN,Gene-TRAN
184,BNIP3-TRAN,Gene-TRAN
185,BOC-TRAN,Gene-TRAN
186,BRAF-TRAN,Gene-TRAN
187,BRAP-TRAN,Gene-TRAN
188,BRCA1-TRAN,Gene-TRAN
189,BRCC3-TRAN,Gene-TRAN
190,BTC-TRAN,Gene-TRAN
191,BTK-TRAN,Gene-TRAN
192,BTRC-TRAN,Gene-TRAN
193,CAB39-TRAN,Gene-TRAN
194,CAB39L-TRAN,Gene-TRAN
195,CACNA1A-TRAN,Gene-TRAN
196,CACNA1B-TRAN,Gene-TRAN
197,CACNA1C-TRAN,Gene-TRAN
198,CACNA1D-TRAN,Gene-TRAN
199,CACNA1E-TRAN,Gene-TRAN
200,CACNA1F-TRAN,Gene-TRAN
201,CACNA1G-TRAN,Gene-TRAN
202,CACNA1H-TRAN,Gene-TRAN
203,CACNA1I-TRAN,Gene-TRAN
204,CACNA1S-TRAN,Gene-TRAN
205,CACNA2D1-TRAN,Gene-TRAN
206,CACNA2D2-TRAN,Gene-TRAN
207,CACNA2D3-TRAN,Gene-TRAN
208,CACNA2D4-TRAN,Gene-TRAN
209,CACNB1-TRAN,Gene-TRAN
210,CACNB2-TRAN,Gene-TRAN
211,CACNB3-TRAN,Gene-TRAN
212,CACNB4-TRAN,Gene-TRAN
213,CACNG1-TRAN,Gene-TRAN
214,CACNG2-TRAN,Gene-TRAN
215,CACNG3-TRAN,Gene-TRAN
216,CACNG4-TRAN,Gene-TRAN
217,CACNG5-TRAN,Gene-TRAN
218,CACNG6-TRAN,Gene-TRAN
219,CACNG7-TRAN,Gene-TRAN
220,CACNG8-TRAN,Gene-TRAN
221,CACYBP-TRAN,Gene-TRAN
222,CALM1-TRAN,Gene-TRAN
223,CALM2-TRAN,Gene-TRAN
224,CALM3-TRAN,Gene-TRAN
225,CALML3-TRAN,Gene-TRAN
226,CALML4-TRAN,Gene-TRAN
227,CALML5-TRAN,Gene-TRAN
228,CALML6-TRAN,Gene-TRAN
229,CAMK1-TRAN,Gene-TRAN
230,CAMK1D-TRAN,Gene-TRAN
231,CAMK1G-TRAN,Gene-TRAN
232,CAMK2A-TRAN,Gene-TRAN
233,CAMK2B-TRAN,Gene-TRAN
234,CAMK2D-TRAN,Gene-TRAN
235,CAMK2G-TRAN,Gene-TRAN
236,CAMK4-TRAN,Gene-TRAN
237,CAMKK2-TRAN,Gene-TRAN
238,CAMP-TRAN,Gene-TRAN
239,CARD10-TRAN,Gene-TRAN
240,CARD11-TRAN,Gene-TRAN
241,CARD14-TRAN,Gene-TRAN
242,CARD16-TRAN,Gene-TRAN
243,CARD18-TRAN,Gene-TRAN
244,CARD6-TRAN,Gene-TRAN
245,CARD8-TRAN,Gene-TRAN
246,CARD9-TRAN,Gene-TRAN
247,CASP1-TRAN,Gene-TRAN
248,CASP10-TRAN,Gene-TRAN
249,CASP12-TRAN,Gene-TRAN
250,CASP3-TRAN,Gene-TRAN
251,CASP4-TRAN,Gene-TRAN
252,CASP5-TRAN,Gene-TRAN
253,CASP7-TRAN,Gene-TRAN
254,CASP8-TRAN,Gene-TRAN
255,CASP9-TRAN,Gene-TRAN
256,CASQ1-TRAN,Gene-TRAN
257,CASQ2-TRAN,Gene-TRAN
258,CASR-TRAN,Gene-TRAN
259,CAT-TRAN,Gene-TRAN
260,CBL-TRAN,Gene-TRAN
261,CBLB-TRAN,Gene-TRAN
262,CCKAR-TRAN,Gene-TRAN
263,CCKBR-TRAN,Gene-TRAN
264,CCL1-TRAN,Gene-TRAN
265,CCL11-TRAN,Gene-TRAN
266,CCL13-TRAN,Gene-TRAN
267,CCL14-TRAN,Gene-TRAN
268,CCL15-TRAN,Gene-TRAN
269,CCL16-TRAN,Gene-TRAN
270,CCL17-TRAN,Gene-TRAN
271,CCL18-TRAN,Gene-TRAN
272,CCL19-TRAN,Gene-TRAN
273,CCL2-TRAN,Gene-TRAN
274,CCL20-TRAN,Gene-TRAN
275,CCL21-TRAN,Gene-TRAN
276,CCL22-TRAN,Gene-TRAN
277,CCL23-TRAN,Gene-TRAN
278,CCL24-TRAN,Gene-TRAN
279,CCL25-TRAN,Gene-TRAN
280,CCL26-TRAN,Gene-TRAN
281,CCL27-TRAN,Gene-TRAN
282,CCL28-TRAN,Gene-TRAN
283,CCL3-TRAN,Gene-TRAN
284,CCL3L3-TRAN,Gene-TRAN
285,CCL4-TRAN,Gene-TRAN
286,CCL4L2-TRAN,Gene-TRAN
287,CCL5-TRAN,Gene-TRAN
288,CCL7-TRAN,Gene-TRAN
289,CCL8-TRAN,Gene-TRAN
290,CCNA1-TRAN,Gene-TRAN
291,CCNA2-TRAN,Gene-TRAN
292,CCNB1-TRAN,Gene-TRAN
293,CCNB2-TRAN,Gene-TRAN
294,CCNB3-TRAN,Gene-TRAN
295,CCND1-TRAN,Gene-TRAN
296,CCND2-TRAN,Gene-TRAN
297,CCND3-TRAN,Gene-TRAN
298,CCNE1-TRAN,Gene-TRAN
299,CCNE2-TRAN,Gene-TRAN
300,CCNG1-TRAN,Gene-TRAN
301,CCNG2-TRAN,Gene-TRAN
302,CCR1-TRAN,Gene-TRAN
303,CCR10-TRAN,Gene-TRAN
304,CCR2-TRAN,Gene-TRAN
305,CCR3-TRAN,Gene-TRAN
306,CCR4-TRAN,Gene-TRAN
307,CCR5-TRAN,Gene-TRAN
308,CCR6-TRAN,Gene-TRAN
309,CCR7-TRAN,Gene-TRAN
310,CCR8-TRAN,Gene-TRAN
311,CCR9-TRAN,Gene-TRAN
312,CD14-TRAN,Gene-TRAN
313,CD19-TRAN,Gene-TRAN
314,CD209-TRAN,Gene-TRAN
315,CD22-TRAN,Gene-TRAN
316,CD247-TRAN,Gene-TRAN
317,CD28-TRAN,Gene-TRAN
318,CD36-TRAN,Gene-TRAN
319,CD38-TRAN,Gene-TRAN
320,CD3E-TRAN,Gene-TRAN
321,CD4-TRAN,Gene-TRAN
322,CD40-TRAN,Gene-TRAN
323,CD40LG-TRAN,Gene-TRAN
324,CD72-TRAN,Gene-TRAN
325,CD79A-TRAN,Gene-TRAN
326,CD79B-TRAN,Gene-TRAN
327,CD80-TRAN,Gene-TRAN
328,CD82-TRAN,Gene-TRAN
329,CD86-TRAN,Gene-TRAN
330,CD8A-TRAN,Gene-TRAN
331,CD8B-TRAN,Gene-TRAN
332,CDC25B-TRAN,Gene-TRAN
333,CDC37-TRAN,Gene-TRAN
334,CDC42-TRAN,Gene-TRAN
335,CDH1-TRAN,Gene-TRAN
336,CDK1-TRAN,Gene-TRAN
337,CDK2-TRAN,Gene-TRAN
338,CDK4-TRAN,Gene-TRAN
339,CDK6-TRAN,Gene-TRAN
340,CDKN1A-TRAN,Gene-TRAN
341,CDKN1B-TRAN,Gene-TRAN
342,CDKN2A-TRAN,Gene-TRAN
343,CDKN2B-TRAN,Gene-TRAN
344,CDKN2D-TRAN,Gene-TRAN
345,CDON-TRAN,Gene-TRAN
346,CEBPB-TRAN,Gene-TRAN
347,CER1-TRAN,Gene-TRAN
348,CFLAR-TRAN,Gene-TRAN
349,CFTR-TRAN,Gene-TRAN
350,CGA-TRAN,Gene-TRAN
351,CHAD-TRAN,Gene-TRAN
352,CHD8-TRAN,Gene-TRAN
353,CHEK1-TRAN,Gene-TRAN
354,CHEK2-TRAN,Gene-TRAN
355,CHRD-TRAN,Gene-TRAN
356,CHRM1-TRAN,Gene-TRAN
357,CHRM2-TRAN,Gene-TRAN
358,CHRM3-TRAN,Gene-TRAN
359,CHRM5-TRAN,Gene-TRAN
360,CHRNA7-TRAN,Gene-TRAN
361,CHUK-TRAN,Gene-TRAN
362,CIR1-TRAN,Gene-TRAN
363,CISH-TRAN,Gene-TRAN
364,CLEC1B-TRAN,Gene-TRAN
365,CLEC4D-TRAN,Gene-TRAN
366,CLEC4E-TRAN,Gene-TRAN
367,CLEC4M-TRAN,Gene-TRAN
368,CLEC6A-TRAN,Gene-TRAN
369,CLEC7A-TRAN,Gene-TRAN
370,CLIP1-TRAN,Gene-TRAN
371,CNGA1-TRAN,Gene-TRAN
372,CNGA2-TRAN,Gene-TRAN
373,CNGA3-TRAN,Gene-TRAN
374,CNGA4-TRAN,Gene-TRAN
375,CNGB1-TRAN,Gene-TRAN
376,CNGB3-TRAN,Gene-TRAN
377,CNR1-TRAN,Gene-TRAN
378,CNTF-TRAN,Gene-TRAN
379,CNTFR-TRAN,Gene-TRAN
380,COL1A1-TRAN,Gene-TRAN
381,COL1A2-TRAN,Gene-TRAN
382,COL2A1-TRAN,Gene-TRAN
383,COL3A1-TRAN,Gene-TRAN
384,COL4A1-TRAN,Gene-TRAN
385,COL4A2-TRAN,Gene-TRAN
386,COL4A3-TRAN,Gene-TRAN
387,COL4A4-TRAN,Gene-TRAN
388,COL4A5-TRAN,Gene-TRAN
389,COL4A6-TRAN,Gene-TRAN
390,COL6A1-TRAN,Gene-TRAN
391,COL6A2-TRAN,Gene-TRAN
392,COL6A3-TRAN,Gene-TRAN
393,COL6A5-TRAN,Gene-TRAN
394,COL6A6-TRAN,Gene-TRAN
395,COL9A1-TRAN,Gene-TRAN
396,COL9A2-TRAN,Gene-TRAN
397,COL9A3-TRAN,Gene-TRAN
398,COMP-TRAN,Gene-TRAN
399,CPT1A-TRAN,Gene-TRAN
400,CPT1B-TRAN,Gene-TRAN
401,CPT1C-TRAN,Gene-TRAN
402,CPT2-TRAN,Gene-TRAN
403,CREB1-TRAN,Gene-TRAN
404,CREB3-TRAN,Gene-TRAN
405,CREB3L1-TRAN,Gene-TRAN
406,CREB3L2-TRAN,Gene-TRAN
407,CREB3L3-TRAN,Gene-TRAN
408,CREB3L4-TRAN,Gene-TRAN
409,CREB5-TRAN,Gene-TRAN
410,CREBBP-TRAN,Gene-TRAN
411,CRK-TRAN,Gene-TRAN
412,CRKL-TRAN,Gene-TRAN
413,CRLF2-TRAN,Gene-TRAN
414,CRTC2-TRAN,Gene-TRAN
415,CSF1-TRAN,Gene-TRAN
416,CSF1R-TRAN,Gene-TRAN
417,CSF2-TRAN,Gene-TRAN
418,CSF2RA-TRAN,Gene-TRAN
419,CSF2RB-TRAN,Gene-TRAN
420,CSF3-TRAN,Gene-TRAN
421,CSF3R-TRAN,Gene-TRAN
422,CSH1-TRAN,Gene-TRAN
423,CSH2-TRAN,Gene-TRAN
424,CSN2-TRAN,Gene-TRAN
425,CSNK1A1-TRAN,Gene-TRAN
426,CSNK1A1L-TRAN,Gene-TRAN
427,CSNK1D-TRAN,Gene-TRAN
428,CSNK1E-TRAN,Gene-TRAN
429,CSNK1G1-TRAN,Gene-TRAN
430,CSNK1G2-TRAN,Gene-TRAN
431,CSNK1G3-TRAN,Gene-TRAN
432,CSNK2A1-TRAN,Gene-TRAN
433,CSNK2A2-TRAN,Gene-TRAN
434,CSNK2A3-TRAN,Gene-TRAN
435,CSNK2B-TRAN,Gene-TRAN
436,CTBP1-TRAN,Gene-TRAN
437,CTBP2-TRAN,Gene-TRAN
438,CTF1-TRAN,Gene-TRAN
439,CTLA4-TRAN,Gene-TRAN
440,CTNNA1-TRAN,Gene-TRAN
441,CTNNA2-TRAN,Gene-TRAN
442,CTNNA3-TRAN,Gene-TRAN
443,CTNNB1-TRAN,Gene-TRAN
444,CTNNBIP1-TRAN,Gene-TRAN
445,CTNND1-TRAN,Gene-TRAN
446,CTNND2-TRAN,Gene-TRAN
447,CTSB-TRAN,Gene-TRAN
448,CTSD-TRAN,Gene-TRAN
449,CUL1-TRAN,Gene-TRAN
450,CUL3-TRAN,Gene-TRAN
451,CX3CL1-TRAN,Gene-TRAN
452,CX3CR1-TRAN,Gene-TRAN
453,CXCL1-TRAN,Gene-TRAN
454,CXCL10-TRAN,Gene-TRAN
455,CXCL11-TRAN,Gene-TRAN
456,CXCL12-TRAN,Gene-TRAN
457,CXCL13-TRAN,Gene-TRAN
458,CXCL14-TRAN,Gene-TRAN
459,CXCL16-TRAN,Gene-TRAN
460,CXCL2-TRAN,Gene-TRAN
461,CXCL3-TRAN,Gene-TRAN
462,CXCL5-TRAN,Gene-TRAN
463,CXCL6-TRAN,Gene-TRAN
464,CXCL8-TRAN,Gene-TRAN
465,CXCL9-TRAN,Gene-TRAN
466,CXCR1-TRAN,Gene-TRAN
467,CXCR2-TRAN,Gene-TRAN
468,CXCR3-TRAN,Gene-TRAN
469,CXCR4-TRAN,Gene-TRAN
470,CXCR5-TRAN,Gene-TRAN
471,CXCR6-TRAN,Gene-TRAN
472,CXXC4-TRAN,Gene-TRAN
473,CYBA-TRAN,Gene-TRAN
474,CYBB-TRAN,Gene-TRAN
475,CYCS-TRAN,Gene-TRAN
476,CYLD-TRAN,Gene-TRAN
477,CYP17A1-TRAN,Gene-TRAN
478,CYP27A1-TRAN,Gene-TRAN
479,CYP7A1-TRAN,Gene-TRAN
480,CYP8B1-TRAN,Gene-TRAN
481,CYSLTR1-TRAN,Gene-TRAN
482,CYSLTR2-TRAN,Gene-TRAN
483,CYTH1-TRAN,Gene-TRAN
484,CYTH2-TRAN,Gene-TRAN
485,CYTH3-TRAN,Gene-TRAN
486,CYTH4-TRAN,Gene-TRAN
487,DAAM1-TRAN,Gene-TRAN
488,DAAM2-TRAN,Gene-TRAN
489,DAB2IP-TRAN,Gene-TRAN
490,DAPP1-TRAN,Gene-TRAN
491,DAXX-TRAN,Gene-TRAN
492,DBI-TRAN,Gene-TRAN
493,DCHS1-TRAN,Gene-TRAN
494,DCHS2-TRAN,Gene-TRAN
495,DCN-TRAN,Gene-TRAN
496,DDB2-TRAN,Gene-TRAN
497,DDIT3-TRAN,Gene-TRAN
498,DDIT4-TRAN,Gene-TRAN
499,DDX3X-TRAN,Gene-TRAN
500,DEFB4A-TRAN,Gene-TRAN
501,DEFB4B-TRAN,Gene-TRAN
502,DEPDC5-TRAN,Gene-TRAN
503,DEPTOR-TRAN,Gene-TRAN
504,DHH-TRAN,Gene-TRAN
505,DHX33-TRAN,Gene-TRAN
506,DHX58-TRAN,Gene-TRAN
507,DIAPH1-TRAN,Gene-TRAN
508,DISP1-TRAN,Gene-TRAN
509,DKK1-TRAN,Gene-TRAN
510,DKK2-TRAN,Gene-TRAN
511,DKK4-TRAN,Gene-TRAN
512,DLG1-TRAN,Gene-TRAN
513,DLG2-TRAN,Gene-TRAN
514,DLG3-TRAN,Gene-TRAN
515,DLG4-TRAN,Gene-TRAN
516,DLG5-TRAN,Gene-TRAN
517,DLL1-TRAN,Gene-TRAN
518,DLL3-TRAN,Gene-TRAN
519,DLL4-TRAN,Gene-TRAN
520,DNM1L-TRAN,Gene-TRAN
521,DOCK2-TRAN,Gene-TRAN
522,DOCK4-TRAN,Gene-TRAN
523,DRD1-TRAN,Gene-TRAN
524,DRD2-TRAN,Gene-TRAN
525,DRD5-TRAN,Gene-TRAN
526,DTX1-TRAN,Gene-TRAN
527,DTX2-TRAN,Gene-TRAN
528,DTX3-TRAN,Gene-TRAN
529,DTX3L-TRAN,Gene-TRAN
530,DTX4-TRAN,Gene-TRAN
531,DUSP1-TRAN,Gene-TRAN
532,DUSP10-TRAN,Gene-TRAN
533,DUSP16-TRAN,Gene-TRAN
534,DUSP2-TRAN,Gene-TRAN
535,DUSP3-TRAN,Gene-TRAN
536,DUSP4-TRAN,Gene-TRAN
537,DUSP5-TRAN,Gene-TRAN
538,DUSP6-TRAN,Gene-TRAN
539,DUSP7-TRAN,Gene-TRAN
540,DUSP8-TRAN,Gene-TRAN
541,DUSP9-TRAN,Gene-TRAN
542,DVL1-TRAN,Gene-TRAN
543,DVL2-TRAN,Gene-TRAN
544,DVL3-TRAN,Gene-TRAN
545,E2F4-TRAN,Gene-TRAN
546,E2F5-TRAN,Gene-TRAN
547,EBAG9-TRAN,Gene-TRAN
548,ECSIT-TRAN,Gene-TRAN
549,EDA-TRAN,Gene-TRAN
550,EDA2R-TRAN,Gene-TRAN
551,EDAR-TRAN,Gene-TRAN
552,EDARADD-TRAN,Gene-TRAN
553,EDN1-TRAN,Gene-TRAN
554,EDN2-TRAN,Gene-TRAN
555,EDN3-TRAN,Gene-TRAN
556,EDNRA-TRAN,Gene-TRAN
557,EDNRB-TRAN,Gene-TRAN
558,EEF2-TRAN,Gene-TRAN
559,EEF2K-TRAN,Gene-TRAN
560,EFCAB7-TRAN,Gene-TRAN
561,EFNA1-TRAN,Gene-TRAN
562,EFNA2-TRAN,Gene-TRAN
563,EFNA3-TRAN,Gene-TRAN
564,EFNA4-TRAN,Gene-TRAN
565,EFNA5-TRAN,Gene-TRAN
566,EGF-TRAN,Gene-TRAN
567,EGFR-TRAN,Gene-TRAN
568,EGLN1-TRAN,Gene-TRAN
569,EGLN2-TRAN,Gene-TRAN
570,EGLN3-TRAN,Gene-TRAN
571,EGR1-TRAN,Gene-TRAN
572,EGR2-TRAN,Gene-TRAN
573,EGR3-TRAN,Gene-TRAN
574,EHHADH-TRAN,Gene-TRAN
575,EI24-TRAN,Gene-TRAN
576,EIF4B-TRAN,Gene-TRAN
577,EIF4E-TRAN,Gene-TRAN
578,EIF4E1B-TRAN,Gene-TRAN
579,EIF4E2-TRAN,Gene-TRAN
580,EIF4EBP1-TRAN,Gene-TRAN
581,ELAVL1-TRAN,Gene-TRAN
582,ELF5-TRAN,Gene-TRAN
583,ELK1-TRAN,Gene-TRAN
584,ELK4-TRAN,Gene-TRAN
585,ELMO1-TRAN,Gene-TRAN
586,ENAH-TRAN,Gene-TRAN
587,ENO1-TRAN,Gene-TRAN
588,ENO2-TRAN,Gene-TRAN
589,ENO3-TRAN,Gene-TRAN
590,ENO4-TRAN,Gene-TRAN
591,EP300-TRAN,Gene-TRAN
592,EPHA2-TRAN,Gene-TRAN
593,EPO-TRAN,Gene-TRAN
594,EPOR-TRAN,Gene-TRAN
595,ERBB2-TRAN,Gene-TRAN
596,ERBB3-TRAN,Gene-TRAN
597,ERBB4-TRAN,Gene-TRAN
598,EREG-TRAN,Gene-TRAN
599,ESR1-TRAN,Gene-TRAN
600,ESR2-TRAN,Gene-TRAN
601,ESRRB-TRAN,Gene-TRAN
602,ETS1-TRAN,Gene-TRAN
603,ETS2-TRAN,Gene-TRAN
604,EVC-TRAN,Gene-TRAN
605,EVC2-TRAN,Gene-TRAN
606,EVL-TRAN,Gene-TRAN
607,EXOC2-TRAN,Gene-TRAN
608,EXOC7-TRAN,Gene-TRAN
609,F2-TRAN,Gene-TRAN
610,F2R-TRAN,Gene-TRAN
611,F2RL3-TRAN,Gene-TRAN
612,F3-TRAN,Gene-TRAN
613,FABP1-TRAN,Gene-TRAN
614,FABP3-TRAN,Gene-TRAN
615,FABP4-TRAN,Gene-TRAN
616,FADD-TRAN,Gene-TRAN
617,FADS2-TRAN,Gene-TRAN
618,FARP2-TRAN,Gene-TRAN
619,FAS-TRAN,Gene-TRAN
620,FASLG-TRAN,Gene-TRAN
621,FASN-TRAN,Gene-TRAN
622,FAT4-TRAN,Gene-TRAN
623,FBP1-TRAN,Gene-TRAN
624,FBP2-TRAN,Gene-TRAN
625,FBXO25-TRAN,Gene-TRAN
626,FBXO32-TRAN,Gene-TRAN
627,FBXW11-TRAN,Gene-TRAN
628,FCER1A-TRAN,Gene-TRAN
629,FCER1G-TRAN,Gene-TRAN
630,FCGR2B-TRAN,Gene-TRAN
631,FFAR2-TRAN,Gene-TRAN
632,FGF1-TRAN,Gene-TRAN
633,FGF10-TRAN,Gene-TRAN
634,FGF16-TRAN,Gene-TRAN
635,FGF17-TRAN,Gene-TRAN
636,FGF18-TRAN,Gene-TRAN
637,FGF19-TRAN,Gene-TRAN
638,FGF2-TRAN,Gene-TRAN
639,FGF20-TRAN,Gene-TRAN
640,FGF21-TRAN,Gene-TRAN
